,US Equities,World Equities,US Treasuries,High Yield,Corp Bonds,Real Estate,Commodities,,Regime
Jan-00,-0.022553,-0.060581,0.019772,-0.003499,-0.001161,0.018291,0.089183,,1
Feb-00,0.023766,0.028542,0.022985,0.000645,0.007933,-0.020461,0.078944,,1
Mar-00,0.032454,0.041239,0.035912,-0.020559,0.009048,0.035848,-0.050421,,1
Apr-00,-0.027287,-0.051687,-0.009177,0.002162,-0.010934,0.0838,0.012628,,1
May-00,-0.02491,-0.024032,0.00511,-0.0101,0.003192,-0.005667,0.114209,,1
Jun-00,0.029459,0.043455,0.01391,0.019632,0.021615,0.050156,0.056032,,1
Jul-00,-0.027498,-0.03803,0.021167,0.007524,0.015658,0.076568,-0.067227,,1
Aug-00,0.073563,0.013265,0.021226,0.008838,0.013822,-0.054656,0.147674,,1
Sep-00,-0.056317,-0.051609,-0.014359,-0.010597,0.003887,0.012027,0.008019,,-1
Oct-00,-0.019061,-0.027053,0.017594,-0.031677,0.002381,-0.029495,-0.01191,,-1
Nov-00,-0.090909,-0.040076,0.024205,-0.042732,0.007734,0.020314,0.052762,,-1
Dec-00,0.012723,0.035246,0.029418,0.022265,0.023853,0.065939,0.004478,,-1
1-Jan,0.042714,0.004522,0.010971,0.077263,0.036949,0.014273,-0.018443,,-1
1-Feb,-0.098313,-0.083441,0.013633,0.011456,0.007483,-0.005577,-0.045112,,-1
1-Mar,-0.082042,-0.072481,-0.011324,-0.023881,0.003236,0.003716,-0.051187,,-1
1-Apr,0.114119,0.091289,-0.022476,-0.011104,-0.000319,0.027175,0.071187,,-1
1-May,0.001829,-0.045019,0.003338,0.016649,0.009946,0.026344,-0.039319,,-1
1-Jun,-0.01591,-0.031187,0.001832,-0.028077,0.001993,0.05353,-0.075702,,-1
1-Jul,-0.018023,-0.017361,0.034965,0.015422,0.028888,-0.010639,0.008642,,-1
1-Aug,-0.064777,-0.047903,0.023142,0.011099,0.014971,0.02796,0.010486,,-1
1-Sep,-0.094084,-0.094885,0.012533,-0.066887,-0.000946,-0.04083,-0.115337,,-1
1-Oct,0.051609,0.043176,0.050139,0.024822,0.025765,-0.011561,-0.062312,,-1
1-Nov,0.045744,0.014861,-0.052687,0.036036,-0.010835,0.031847,-0.026099,,-1
1-Dec,0.026362,0.020027,-0.018355,-0.004078,-0.007888,0.032466,-0.022734,,-1
2-Jan,-0.019193,-0.052603,0.016721,0.007301,0.01084,0.004302,-0.006563,,-1
2-Feb,0.008058,0.02008,-0.002353,-0.014648,-0.000102,0.027687,0.0396,,-1
2-Mar,0.020268,0.045756,-0.03078,0.024352,-0.015031,0.052475,0.129864,,-1
2-Apr,-0.040571,0.006824,0.04122,0.015831,0.012802,0.017289,-0.019523,,-1
2-May,-0.042578,0.00929,-0.000216,-0.005319,0.0167,0.005709,-0.031508,,-1
2-Jun,-0.069449,-0.038659,0.01952,-0.073895,0.00023,0.017073,0.041084,,-1
2-Jul,-0.084452,-0.125632,0.032378,-0.041356,0.001472,-0.055107,-0.01475,,-1
2-Aug,0.033607,0.015962,0.040085,0.026203,0.023173,0.016557,0.076938,,-1
2-Sep,-0.068834,-0.094507,0.042193,-0.013465,0.015978,-0.040862,0.053018,,-1
2-Oct,0.057949,0.048098,-0.02893,-0.007372,-0.012496,-0.036435,-0.055149,,1
2-Nov,0.041784,0.046399,-0.01512,0.060853,0.019592,0.046294,0.011229,,1
2-Dec,-0.054938,-0.029937,0.049236,0.013985,0.033108,0.002179,0.072413,,1
3-Jan,-0.021398,-0.024057,-0.010608,0.033287,0.004556,-0.032176,0.081421,,1
3-Feb,-0.026968,-0.024631,0.027453,0.012342,0.022213,0.022602,0.099802,,1
3-Mar,0.029213,-0.019108,-0.006256,0.0312,0.000774,0.039013,-0.139183,,1
3-Apr,0.069869,0.093187,0.010085,0.056982,0.022002,0.033467,-0.039819,,1
3-May,0.065306,0.075782,0.05755,0.010178,0.034151,0.05974,0.119641,,1
3-Jun,0.018199,0.006538,-0.016561,0.028746,-0.004002,0.029406,-0.017773,,1
3-Jul,0.005958,0.019391,-0.089361,-0.015255,-0.043139,0.036524,0.041774,,1
3-Aug,0.034913,0.044851,0.01583,0.015889,0.006764,0.011605,0.003567,,1
3-Sep,0.010542,0.035317,0.051985,0.031137,0.039005,0.040561,-0.038174,,1
3-Oct,0.047988,0.042673,-0.032969,0.016435,-0.011681,0.026347,0.00693,,1
3-Nov,0.016496,0.037818,0.010536,0.0164,0.002613,0.044195,0.042884,,1
3-Dec,0.033016,0.0616,0.010734,0.021396,0.015134,0.021418,0.057438,,1
4-Jan,0.02519,0.017141,0.012318,0.019091,0.011267,0.056922,0.028905,,1
4-Feb,0.022193,0.03487,0.026011,-0.00056,0.013146,0.021017,0.064473,,1
4-Mar,-0.014991,0.003561,0.015527,0.005148,0.007152,0.052105,-0.014574,,1
4-Apr,-0.018368,-0.03555,-0.060093,-0.007124,-0.030634,-0.147349,0.067106,,1
4-May,0.005881,0.000859,-0.00131,-0.016757,-0.010585,0.043553,0.0754,,1
4-Jun,0.009567,0.026568,0.00967,0.01672,0.01028,0.041617,-0.06483,,1
4-Jul,-0.023427,-0.030655,0.006167,0.011037,0.010682,0.015537,0.043534,,1
4-Aug,0.002426,0.012392,0.047554,0.020967,0.026019,0.059335,-0.007371,,1
4-Sep,0.028771,0.034545,0.008596,0.013335,0.002677,0.021817,0.10087,,1
4-Oct,0.001568,0.028238,0.014581,0.019999,0.010557,0.040305,0.012563,,1
4-Nov,0.061326,0.067575,-0.022289,0.010224,-0.008164,0.054646,-0.070956,,1
4-Dec,0.010819,0.031212,0.016369,0.01466,0.015268,0.015122,-0.075006,,1
5-Jan,-0.009487,-0.012256,0.031668,0.000517,0.008568,-0.061148,0.074195,,1
5-Feb,0.020629,0.041427,-0.012963,0.012159,-0.00688,0.026126,0.075081,,1
5-Mar,-0.028874,-0.020341,-0.006687,-0.02718,-0.011382,-0.030663,0.100334,,1
5-Apr,-0.01115,-0.026936,0.035829,-0.010991,0.011499,0.046929,-0.100174,,1
5-May,0.042095,0.00917,0.024687,0.023059,0.020672,0.050531,0.021909,,1
